bodyMass,mu,sigma,nu
151.7,292.1301451,0.090702619,3.133803653
151.8,292.2626761,0.090686371,3.134259375
151.9,292.3949642,0.090670127,3.134714797
152.0,292.5270139,0.090653886,3.135169919
152.1,292.6588296,0.090637647,3.135624743
152.2,292.7904159,0.090621412,3.136079267
152.3,292.9217772,0.090605179,3.136533492
152.4,293.0529184,0.090588949,3.13698742
152.5,293.1838497,0.090572722,3.13744105
152.6,293.3145868,0.090556498,3.137894382
152.7,293.4451458,0.090540277,3.138347417
152.8,293.5755425,0.090524059,3.138800156
152.9,293.7057932,0.090507844,3.139252599
153.0,293.8359139,0.090491632,3.139704746
153.1,293.9659206,0.090475422,3.140156597
153.2,294.0958296,0.090459216,3.140608154
153.3,294.225657,0.090443012,3.141059415
153.4,294.355419,0.090426812,3.141510383
153.5,294.4851319,0.090410614,3.141961056
153.6,294.6148118,0.090394419,3.142411436
153.7,294.7444752,0.090378227,3.142861523
153.8,294.8741382,0.090362038,3.143311317
153.9,295.0038173,0.090345852,3.143760819
154.0,295.1335289,0.090329668,3.144210029
154.1,295.2632889,0.090313488,3.144658947
154.2,295.3931056,0.090297311,3.145107574
154.3,295.5229794,0.090281136,3.14555591
154.4,295.6529103,0.090264964,3.146003956
154.5,295.7828983,0.090248795,3.146451712
154.6,295.9129435,0.09023263,3.146899178
154.7,296.0430459,0.090216467,3.147346354
154.8,296.1732054,0.090200307,3.147793242
154.9,296.3034222,0.090184149,3.148239841
155.0,296.4336962,0.090167995,3.148686152
155.1,296.5640275,0.090151844,3.149132175
155.2,296.6944162,0.090135695,3.14957791
155.3,296.8248621,0.090119549,3.150023358
155.4,296.9553654,0.090103407,3.15046852
155.5,297.0859261,0.090087267,3.150913395
155.6,297.2165441,0.09007113,3.151357984
155.7,297.3472196,0.090054996,3.151802288
155.8,297.4779526,0.090038865,3.152246306
155.9,297.608743,0.090022736,3.15269004
156.0,297.739591,0.090006611,3.153133489
156.1,297.8704964,0.089990488,3.153576653
156.2,298.0014595,0.089974369,3.154019534
156.3,298.1324801,0.089958252,3.154462132
156.4,298.2635583,0.089942138,3.154904446
156.5,298.3946941,0.089926027,3.155346478
156.6,298.5258876,0.089909919,3.155788227
156.7,298.6571388,0.089893814,3.156229694
156.8,298.7884476,0.089877712,3.15667088
156.9,298.9198143,0.089861612,3.157111785
157.0,299.0512386,0.089845516,3.157552408
157.1,299.1827208,0.089829422,3.157992751
157.2,299.3142607,0.089813331,3.158432814
157.3,299.4458585,0.089797243,3.158872597
157.4,299.5775142,0.089781158,3.1593121
157.5,299.7092277,0.089765076,3.159751324
157.6,299.8409992,0.089748997,3.16019027
157.7,299.9728285,0.089732921,3.160628937
157.8,300.1047159,0.089716847,3.161067326
157.9,300.2366612,0.089700777,3.161505437
158.0,300.3686646,0.089684709,3.161943271
158.1,300.5007259,0.089668644,3.162380827
158.2,300.6328454,0.089652582,3.162818108
158.3,300.7650229,0.089636523,3.163255111
158.4,300.8972585,0.089620467,3.163691839
158.5,301.0295523,0.089604413,3.164128291
158.6,301.1619043,0.089588363,3.164564468
158.7,301.2943144,0.089572315,3.16500037
158.8,301.4267828,0.089556271,3.165435998
158.9,301.5593093,0.089540229,3.165871351
159.0,301.6918942,0.08952419,3.16630643
159.1,301.8245374,0.089508154,3.166741236
159.2,301.9572388,0.089492121,3.167175769
159.3,302.0899986,0.08947609,3.167610028
159.4,302.2228168,0.089460063,3.168044016
159.5,302.3556934,0.089444038,3.168477731
159.6,302.4886284,0.089428016,3.168911174
159.7,302.6216219,0.089411998,3.169344345
159.8,302.7546738,0.089395982,3.169777246
