bodyMass,mu,sigma,nu
58.7,265.9425451,0.075062264,7.138008805
58.8,266.4266428,0.07506857,7.130828501
58.9,266.9096285,0.075074876,7.123660399
59.0,267.3914909,0.075081182,7.116504456
59.1,267.8722191,0.07508749,7.109360632
59.2,268.3518021,0.075093797,7.102228885
59.3,268.830229,0.075100105,7.095109174
59.4,269.3074886,0.075106414,7.08800146
59.5,269.78357,0.075112723,7.080905702
59.6,270.258462,0.075119033,7.073821859
59.7,270.7321537,0.075125344,7.066749892
59.8,271.2046341,0.075131654,7.059689761
59.9,271.675892,0.075137966,7.052641427
60.0,272.1459165,0.075144278,7.045604849
60.1,272.6146965,0.07515059,7.038579989
60.2,273.082221,0.075156903,7.031566809
60.3,273.548479,0.075163216,7.024565268
60.4,274.0134593,0.07516953,7.017575329
60.5,274.4771511,0.075175845,7.010596953
60.6,274.9395431,0.07518216,7.003630102
60.7,275.4006245,0.075188476,6.996674738
60.8,275.8603841,0.075194792,6.989730823
60.9,276.318811,0.075201108,6.98279832
61.0,276.775894,0.075207425,6.97587719
61.1,277.2316223,0.075213743,6.968967398
61.2,277.6859847,0.075220061,6.962068905
61.3,278.1389703,0.07522638,6.955181676
61.4,278.590568,0.075232699,6.948305672
61.5,279.0407669,0.075239019,6.941440858
61.6,279.4895559,0.075245339,6.934587197
61.7,279.936924,0.07525166,6.927744653
61.8,280.3828603,0.075257982,6.920913191
61.9,280.8273538,0.075264304,6.914092773
62.0,281.2703934,0.075270626,6.907283365
62.1,281.7119683,0.075276949,6.900484931
62.2,282.1520675,0.075283272,6.893697436
62.3,282.5906799,0.075289596,6.886920845
62.4,283.0277948,0.075295921,6.880155122
62.5,283.463401,0.075302246,6.873400233
62.6,283.8974878,0.075308572,6.866656143
62.7,284.3300442,0.075314898,6.859922818
62.8,284.7610593,0.075321224,6.853200223
62.9,285.1905221,0.075327552,6.846488324
63.0,285.6184219,0.075333879,6.839787088
63.1,286.0447477,0.075340207,6.83309648
63.2,286.4694887,0.075346536,6.826416467
63.3,286.892634,0.075352866,6.819747016
63.4,287.3141728,0.075359195,6.813088092
63.5,287.7340943,0.075365526,6.806439663
63.6,288.1523876,0.075371857,6.799801696
63.7,288.569042,0.075378188,6.793174157
63.8,288.9840467,0.07538452,6.786557015
63.9,289.3973909,0.075390852,6.779950236
64.0,289.8090638,0.075397185,6.773353789
64.1,290.2190548,0.075403519,6.76676764
64.2,290.6273531,0.075409853,6.760191759
64.3,291.033948,0.075416188,6.753626112
64.4,291.4388288,0.075422523,6.747070668
64.5,291.8419849,0.075428858,6.740525395
64.6,292.2434056,0.075435194,6.733990263
64.7,292.6430802,0.075441531,6.727465238
64.8,293.0409982,0.075447868,6.720950291
64.9,293.437149,0.075454206,6.714445391
65.0,293.8315219,0.075460544,6.707950505
65.1,294.2241065,0.075466883,6.701465604
65.2,294.6148922,0.075473223,6.694990657
65.3,295.0038685,0.075479563,6.688525633
65.4,295.3910248,0.075485903,6.682070502
65.5,295.7763507,0.075492244,6.675625233
65.6,296.1598358,0.075498585,6.669189798
65.7,296.541471,0.075504927,6.662764165
65.8,296.9212518,0.07551127,6.656348304
65.9,297.2991745,0.075517613,6.649942187
66.0,297.6752357,0.075523957,6.643545784
66.1,298.0494318,0.075530301,6.637159064
66.2,298.4217595,0.075536645,6.630782
66.3,298.7922154,0.075542991,6.624414561
66.4,299.1607962,0.075549336,6.618056719
66.5,299.5274987,0.075555683,6.611708445
66.6,299.8923197,0.07556203,6.60536971
66.7,300.255256,0.075568377,6.599040486
